"Adjusted UTC Time","Adjusted Local Time","Original UTC Time",Temp,Light,Wets,Wet/Dry,Duration,"Wet Temp (min)","Wet Temp (max)","Wet Temp (mean)","Wet Temp (samples)"
"2021-04-29 16:04:59","2021-04-29 12:04:59","2021-04-29 16:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:09:59","2021-04-29 12:09:59","2021-04-29 16:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:14:59","2021-04-29 12:14:59","2021-04-29 16:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:19:59","2021-04-29 12:19:59","2021-04-29 16:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:24:59","2021-04-29 12:24:59","2021-04-29 16:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:29:59","2021-04-29 12:29:59","2021-04-29 16:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:34:59","2021-04-29 12:34:59","2021-04-29 16:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:39:59","2021-04-29 12:39:59","2021-04-29 16:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:44:59","2021-04-29 12:44:59","2021-04-29 16:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:49:59","2021-04-29 12:49:59","2021-04-29 16:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:54:59","2021-04-29 12:54:59","2021-04-29 16:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 16:59:59","2021-04-29 12:59:59","2021-04-29 17:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:04:59","2021-04-29 13:04:59","2021-04-29 17:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:09:59","2021-04-29 13:09:59","2021-04-29 17:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:14:59","2021-04-29 13:14:59","2021-04-29 17:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:19:59","2021-04-29 13:19:59","2021-04-29 17:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:24:59","2021-04-29 13:24:59","2021-04-29 17:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:29:59","2021-04-29 13:29:59","2021-04-29 17:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:34:59","2021-04-29 13:34:59","2021-04-29 17:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:39:59","2021-04-29 13:39:59","2021-04-29 17:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:44:59","2021-04-29 13:44:59","2021-04-29 17:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:49:59","2021-04-29 13:49:59","2021-04-29 17:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:54:59","2021-04-29 13:54:59","2021-04-29 17:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 17:59:59","2021-04-29 13:59:59","2021-04-29 18:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:04:59","2021-04-29 14:04:59","2021-04-29 18:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:09:59","2021-04-29 14:09:59","2021-04-29 18:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:14:59","2021-04-29 14:14:59","2021-04-29 18:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:19:59","2021-04-29 14:19:59","2021-04-29 18:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:24:59","2021-04-29 14:24:59","2021-04-29 18:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:29:59","2021-04-29 14:29:59","2021-04-29 18:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:34:59","2021-04-29 14:34:59","2021-04-29 18:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:39:59","2021-04-29 14:39:59","2021-04-29 18:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:44:59","2021-04-29 14:44:59","2021-04-29 18:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:49:59","2021-04-29 14:49:59","2021-04-29 18:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:54:59","2021-04-29 14:54:59","2021-04-29 18:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 18:59:59","2021-04-29 14:59:59","2021-04-29 19:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:04:59","2021-04-29 15:04:59","2021-04-29 19:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:09:59","2021-04-29 15:09:59","2021-04-29 19:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:14:59","2021-04-29 15:14:59","2021-04-29 19:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:19:59","2021-04-29 15:19:59","2021-04-29 19:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:24:59","2021-04-29 15:24:59","2021-04-29 19:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:29:59","2021-04-29 15:29:59","2021-04-29 19:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:34:59","2021-04-29 15:34:59","2021-04-29 19:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:39:59","2021-04-29 15:39:59","2021-04-29 19:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:44:59","2021-04-29 15:44:59","2021-04-29 19:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:49:59","2021-04-29 15:49:59","2021-04-29 19:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:54:59","2021-04-29 15:54:59","2021-04-29 19:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 19:59:59","2021-04-29 15:59:59","2021-04-29 20:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:04:59","2021-04-29 16:04:59","2021-04-29 20:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:09:59","2021-04-29 16:09:59","2021-04-29 20:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:14:59","2021-04-29 16:14:59","2021-04-29 20:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:19:59","2021-04-29 16:19:59","2021-04-29 20:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:24:59","2021-04-29 16:24:59","2021-04-29 20:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:29:59","2021-04-29 16:29:59","2021-04-29 20:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:34:59","2021-04-29 16:34:59","2021-04-29 20:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:39:59","2021-04-29 16:39:59","2021-04-29 20:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:44:59","2021-04-29 16:44:59","2021-04-29 20:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:49:59","2021-04-29 16:49:59","2021-04-29 20:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:54:59","2021-04-29 16:54:59","2021-04-29 20:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 20:59:59","2021-04-29 16:59:59","2021-04-29 21:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:04:59","2021-04-29 17:04:59","2021-04-29 21:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:09:59","2021-04-29 17:09:59","2021-04-29 21:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:14:59","2021-04-29 17:14:59","2021-04-29 21:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:19:59","2021-04-29 17:19:59","2021-04-29 21:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:24:59","2021-04-29 17:24:59","2021-04-29 21:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:29:59","2021-04-29 17:29:59","2021-04-29 21:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:34:59","2021-04-29 17:34:59","2021-04-29 21:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:39:59","2021-04-29 17:39:59","2021-04-29 21:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:44:59","2021-04-29 17:44:59","2021-04-29 21:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:49:59","2021-04-29 17:49:59","2021-04-29 21:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:54:59","2021-04-29 17:54:59","2021-04-29 21:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 21:59:59","2021-04-29 17:59:59","2021-04-29 22:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:04:59","2021-04-29 18:04:59","2021-04-29 22:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:09:59","2021-04-29 18:09:59","2021-04-29 22:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:14:59","2021-04-29 18:14:59","2021-04-29 22:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:19:59","2021-04-29 18:19:59","2021-04-29 22:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:24:59","2021-04-29 18:24:59","2021-04-29 22:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:29:59","2021-04-29 18:29:59","2021-04-29 22:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:34:59","2021-04-29 18:34:59","2021-04-29 22:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:39:59","2021-04-29 18:39:59","2021-04-29 22:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:44:59","2021-04-29 18:44:59","2021-04-29 22:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:49:59","2021-04-29 18:49:59","2021-04-29 22:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:54:59","2021-04-29 18:54:59","2021-04-29 22:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 22:59:59","2021-04-29 18:59:59","2021-04-29 23:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:04:59","2021-04-29 19:04:59","2021-04-29 23:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:09:59","2021-04-29 19:09:59","2021-04-29 23:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:14:59","2021-04-29 19:14:59","2021-04-29 23:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:19:59","2021-04-29 19:19:59","2021-04-29 23:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:24:59","2021-04-29 19:24:59","2021-04-29 23:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:29:59","2021-04-29 19:29:59","2021-04-29 23:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:34:59","2021-04-29 19:34:59","2021-04-29 23:35:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:39:59","2021-04-29 19:39:59","2021-04-29 23:40:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:44:59","2021-04-29 19:44:59","2021-04-29 23:45:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:49:59","2021-04-29 19:49:59","2021-04-29 23:50:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:54:59","2021-04-29 19:54:59","2021-04-29 23:55:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-29 23:59:59","2021-04-29 19:59:59","2021-04-30 00:00:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:04:59","2021-04-29 20:04:59","2021-04-30 00:05:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:09:59","2021-04-29 20:09:59","2021-04-30 00:10:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:14:59","2021-04-29 20:14:59","2021-04-30 00:15:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:19:59","2021-04-29 20:19:59","2021-04-30 00:20:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:24:59","2021-04-29 20:24:59","2021-04-30 00:25:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:29:59","2021-04-29 20:29:59","2021-04-30 00:30:00",,1.136,,dry,,14.875,16.125,15.700,5
"2021-04-30 00:34:59","2021-04-29 20:34:59","2021-04-30 00:35:00",,1.136,,dry,,14.875,16.125,15.700,5
