Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/4/2021 8:04,5/4/2021 4:04,5/4/2021 8:05,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:09,5/4/2021 4:09,5/4/2021 8:10,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:14,5/4/2021 4:14,5/4/2021 8:15,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:19,5/4/2021 4:19,5/4/2021 8:20,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:24,5/4/2021 4:24,5/4/2021 8:25,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:29,5/4/2021 4:29,5/4/2021 8:30,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:34,5/4/2021 4:34,5/4/2021 8:35,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:39,5/4/2021 4:39,5/4/2021 8:40,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:44,5/4/2021 4:44,5/4/2021 8:45,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:49,5/4/2021 4:49,5/4/2021 8:50,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:54,5/4/2021 4:54,5/4/2021 8:55,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 8:59,5/4/2021 4:59,5/4/2021 9:00,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:04,5/4/2021 5:04,5/4/2021 9:05,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:09,5/4/2021 5:09,5/4/2021 9:10,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:14,5/4/2021 5:14,5/4/2021 9:15,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:19,5/4/2021 5:19,5/4/2021 9:20,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:24,5/4/2021 5:24,5/4/2021 9:25,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:29,5/4/2021 5:29,5/4/2021 9:30,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:34,5/4/2021 5:34,5/4/2021 9:35,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:39,5/4/2021 5:39,5/4/2021 9:40,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:44,5/4/2021 5:44,5/4/2021 9:45,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:49,5/4/2021 5:49,5/4/2021 9:50,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:54,5/4/2021 5:54,5/4/2021 9:55,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 9:59,5/4/2021 5:59,5/4/2021 10:00,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:04,5/4/2021 6:04,5/4/2021 10:05,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:09,5/4/2021 6:09,5/4/2021 10:10,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:14,5/4/2021 6:14,5/4/2021 10:15,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:19,5/4/2021 6:19,5/4/2021 10:20,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:24,5/4/2021 6:24,5/4/2021 10:25,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:29,5/4/2021 6:29,5/4/2021 10:30,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:34,5/4/2021 6:34,5/4/2021 10:35,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:39,5/4/2021 6:39,5/4/2021 10:40,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:44,5/4/2021 6:44,5/4/2021 10:45,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:49,5/4/2021 6:49,5/4/2021 10:50,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:54,5/4/2021 6:54,5/4/2021 10:55,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 10:59,5/4/2021 6:59,5/4/2021 11:00,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:04,5/4/2021 7:04,5/4/2021 11:05,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:09,5/4/2021 7:09,5/4/2021 11:10,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:14,5/4/2021 7:14,5/4/2021 11:15,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:19,5/4/2021 7:19,5/4/2021 11:20,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:24,5/4/2021 7:24,5/4/2021 11:25,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:29,5/4/2021 7:29,5/4/2021 11:30,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:34,5/4/2021 7:34,5/4/2021 11:35,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:39,5/4/2021 7:39,5/4/2021 11:40,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:44,5/4/2021 7:44,5/4/2021 11:45,,1.136,,dry,,15.75,16.375,16.125,11
5/4/2021 11:49,5/4/2021 7:49,5/4/2021 11:50,,2.271,,dry,,15.75,16.375,16.125,11
5/4/2021 11:54,5/4/2021 7:54,5/4/2021 11:55,,2.271,,dry,,15.75,16.375,16.125,11
5/4/2021 11:59,5/4/2021 7:59,5/4/2021 12:00,,3.407,,dry,,15.75,16.375,16.125,11
5/4/2021 12:04,5/4/2021 8:04,5/4/2021 12:05,,3.407,,dry,,15.75,16.375,16.125,11
5/4/2021 12:09,5/4/2021 8:09,5/4/2021 12:10,,4.542,,dry,,15.75,16.375,16.125,11
5/4/2021 12:14,5/4/2021 8:14,5/4/2021 12:15,,4.542,,dry,,15.75,16.375,16.125,11
5/4/2021 12:19,5/4/2021 8:19,5/4/2021 12:20,,4.542,,dry,,15.75,16.375,16.125,11
5/4/2021 12:24,5/4/2021 8:24,5/4/2021 12:25,,4.542,,dry,,15.75,16.375,16.125,11
5/4/2021 12:29,5/4/2021 8:29,5/4/2021 12:30,,4.542,,dry,,15.75,16.375,16.125,11
5/4/2021 12:34,5/4/2021 8:34,5/4/2021 12:35,,4.542,,dry,,15.75,16.375,16.125,11
5/4/2021 12:39,5/4/2021 8:39,5/4/2021 12:40,,4.542,,dry,,15.75,16.375,16.125,11
