"Adjusted UTC Time","Adjusted Local Time","Original UTC Time",Temp,Light,Wets,Wet/Dry,Duration,"Wet Temp (min)","Wet Temp (max)","Wet Temp (mean)","Wet Temp (samples)"
"2021-05-02 08:04:58","2021-05-02 04:04:58","2021-05-02 08:05:00",,11.356,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:09:58","2021-05-02 04:09:58","2021-05-02 08:10:00",,11.356,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:14:58","2021-05-02 04:14:58","2021-05-02 08:15:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:19:58","2021-05-02 04:19:58","2021-05-02 08:20:00",,11.356,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:24:58","2021-05-02 04:24:58","2021-05-02 08:25:00",,11.356,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:29:58","2021-05-02 04:29:58","2021-05-02 08:30:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:34:58","2021-05-02 04:34:58","2021-05-02 08:35:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:39:58","2021-05-02 04:39:58","2021-05-02 08:40:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:44:58","2021-05-02 04:44:58","2021-05-02 08:45:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:49:58","2021-05-02 04:49:58","2021-05-02 08:50:00",,11.356,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:54:58","2021-05-02 04:54:58","2021-05-02 08:55:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 08:59:58","2021-05-02 04:59:58","2021-05-02 09:00:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:04:58","2021-05-02 05:04:58","2021-05-02 09:05:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:09:58","2021-05-02 05:09:58","2021-05-02 09:10:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:14:58","2021-05-02 05:14:58","2021-05-02 09:15:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:19:58","2021-05-02 05:19:58","2021-05-02 09:20:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:24:58","2021-05-02 05:24:58","2021-05-02 09:25:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:29:58","2021-05-02 05:29:58","2021-05-02 09:30:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:34:58","2021-05-02 05:34:58","2021-05-02 09:35:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:39:58","2021-05-02 05:39:58","2021-05-02 09:40:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:44:58","2021-05-02 05:44:58","2021-05-02 09:45:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:49:58","2021-05-02 05:49:58","2021-05-02 09:50:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:54:58","2021-05-02 05:54:58","2021-05-02 09:55:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 09:59:58","2021-05-02 05:59:58","2021-05-02 10:00:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 10:04:58","2021-05-02 06:04:58","2021-05-02 10:05:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 10:09:58","2021-05-02 06:09:58","2021-05-02 10:10:00",,10.220,,dry,,22.250,22.250,22.250,1
"2021-05-02 10:14:58","2021-05-02 06:14:58","2021-05-02 10:15:00",,10.220,,dry,,22.250,22.250,22.250,1
