Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
4/30/21 20:39,4/30/21 16:39,4/30/21 20:40,,55815.941,,wet,,15.625,16.875,16.312,8
4/30/21 20:44,4/30/21 16:44,4/30/21 20:45,,4216.316,,wet,,15.625,16.875,16.312,8
4/30/21 20:49,4/30/21 16:49,4/30/21 20:50,,74418.605,,wet,,15.625,16.875,16.312,8
4/30/21 20:54,4/30/21 16:54,4/30/21 20:55,,74418.605,,wet,,15.625,16.875,16.312,8
4/30/21 20:59,4/30/21 16:59,4/30/21 21:00,,51164.707,,wet,,15.625,16.875,16.312,8
4/30/21 21:02,4/30/21 17:02,4/30/21 21:02,,,,wet,1716,15.625,16.875,16.312,8
4/30/21 21:04,4/30/21 17:04,4/30/21 21:05,,74418.605,,dry,,15.625,16.875,16.312,8
4/30/21 21:09,4/30/21 17:09,4/30/21 21:10,,69769.642,,dry,,15.625,16.875,16.312,8
4/30/21 21:14,4/30/21 17:14,4/30/21 21:15,,69769.642,,dry,,15.625,16.875,16.312,8
4/30/21 21:19,4/30/21 17:19,4/30/21 21:20,,60467.174,,dry,,15.625,16.875,16.312,8
4/30/21 21:24,4/30/21 17:24,4/30/21 21:24,,,,dry,1314,15.625,16.875,16.312,8
4/30/21 21:24,4/30/21 17:24,4/30/21 21:25,,74418.605,,wet,,15.625,16.875,16.312,8
4/30/21 21:29,4/30/21 17:29,4/30/21 21:30,,6396.582,,wet,,15.625,16.875,16.312,8
4/30/21 21:34,4/30/21 17:34,4/30/21 21:35,,25582.921,,wet,,15.625,16.875,16.312,8
4/30/21 21:39,4/30/21 17:39,4/30/21 21:40,,74418.605,,wet,,15.625,16.875,16.312,8
4/30/21 21:44,4/30/21 17:44,4/30/21 21:45,,41862.239,,wet,,15.625,16.875,16.312,8
4/30/21 21:49,4/30/21 17:49,4/30/21 21:50,,37211.006,,wet,,15.625,16.875,16.312,8
4/30/21 21:54,4/30/21 17:54,4/30/21 21:55,,32559.772,,wet,,15.625,16.875,16.312,8
4/30/21 21:59,4/30/21 17:59,4/30/21 22:00,,65118.408,,wet,,15.625,16.875,16.312,8
4/30/21 22:04,4/30/21 18:04,4/30/21 22:05,,27908.538,,wet,,15.625,16.875,16.312,8
4/30/21 22:09,4/30/21 18:09,4/30/21 22:10,,51164.707,,wet,,15.625,16.875,16.312,8
4/30/21 22:14,4/30/21 18:14,4/30/21 22:15,,55815.941,,wet,,15.625,16.875,16.312,8
4/30/21 22:19,4/30/21 18:19,4/30/21 22:20,,23257.304,,wet,,15.625,16.875,16.312,8
4/30/21 22:24,4/30/21 18:24,4/30/21 22:25,,46513.473,,wet,,15.625,16.875,16.312,8
