Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
4/30/21 18:27,4/30/21 14:27,4/30/21 18:27,,,,wet,120,15.5,16.375,15.975,5
4/30/21 18:27,4/30/21 14:27,4/30/21 18:27,,,,dry,6,15.5,16.375,15.975,5
4/30/21 18:29,4/30/21 14:29,4/30/21 18:30,,74418.605,,wet,,15.5,16.375,15.975,5
4/30/21 18:34,4/30/21 14:34,4/30/21 18:35,,32559.772,,wet,,15.5,16.375,15.975,5
4/30/21 18:39,4/30/21 14:39,4/30/21 18:40,,46513.473,,wet,,15.5,16.375,15.975,5
4/30/21 18:44,4/30/21 14:44,4/30/21 18:45,,69769.642,,wet,,15.5,16.375,15.975,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:50,,74418.605,,wet,,15.5,16.375,15.975,5
4/30/21 18:51,4/30/21 14:51,4/30/21 18:51,,,,wet,1434,15.5,16.375,15.975,5
4/30/21 18:54,4/30/21 14:54,4/30/21 18:55,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 18:59,4/30/21 14:59,4/30/21 19:00,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:04,4/30/21 15:04,4/30/21 19:05,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:09,4/30/21 15:09,4/30/21 19:10,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:14,4/30/21 15:14,4/30/21 19:15,,55815.941,,dry,,15.5,16.375,15.975,5
4/30/21 19:19,4/30/21 15:19,4/30/21 19:20,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 19:24,4/30/21 15:24,4/30/21 19:25,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:29,4/30/21 15:29,4/30/21 19:30,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:34,4/30/21 15:34,4/30/21 19:35,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:39,4/30/21 15:39,4/30/21 19:40,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:44,4/30/21 15:44,4/30/21 19:45,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:49,4/30/21 15:49,4/30/21 19:50,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:54,4/30/21 15:54,4/30/21 19:55,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 19:59,4/30/21 15:59,4/30/21 20:00,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:04,4/30/21 16:04,4/30/21 20:05,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:09,4/30/21 16:09,4/30/21 20:10,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:14,4/30/21 16:14,4/30/21 20:15,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:19,4/30/21 16:19,4/30/21 20:20,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:24,4/30/21 16:24,4/30/21 20:25,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:29,4/30/21 16:29,4/30/21 20:30,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:34,4/30/21 16:34,4/30/21 20:35,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:39,4/30/21 16:39,4/30/21 20:40,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:44,4/30/21 16:44,4/30/21 20:45,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:49,4/30/21 16:49,4/30/21 20:50,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:54,4/30/21 16:54,4/30/21 20:55,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 20:59,4/30/21 16:59,4/30/21 21:00,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:04,4/30/21 17:04,4/30/21 21:05,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:09,4/30/21 17:09,4/30/21 21:10,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:14,4/30/21 17:14,4/30/21 21:15,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:19,4/30/21 17:19,4/30/21 21:20,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:24,4/30/21 17:24,4/30/21 21:25,,60467.174,,dry,,15.5,16.375,15.975,5
4/30/21 21:29,4/30/21 17:29,4/30/21 21:30,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:34,4/30/21 17:34,4/30/21 21:35,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:39,4/30/21 17:39,4/30/21 21:40,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:44,4/30/21 17:44,4/30/21 21:45,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:49,4/30/21 17:49,4/30/21 21:50,,74418.605,,dry,,15.5,16.375,15.975,5
4/30/21 21:54,4/30/21 17:54,4/30/21 21:55,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 21:59,4/30/21 17:59,4/30/21 22:00,,60467.174,,dry,,15.5,16.375,15.975,5
4/30/21 22:04,4/30/21 18:04,4/30/21 22:05,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 22:09,4/30/21 18:09,4/30/21 22:10,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 22:14,4/30/21 18:14,4/30/21 22:15,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 22:19,4/30/21 18:19,4/30/21 22:20,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 22:24,4/30/21 18:24,4/30/21 22:25,,69769.642,,dry,,15.5,16.375,15.975,5
4/30/21 22:29,4/30/21 18:29,4/30/21 22:30,,41862.239,,dry,,15.5,16.375,15.975,5
4/30/21 22:34,4/30/21 18:34,4/30/21 22:35,,41862.239,,dry,,15.5,16.375,15.975,5
4/30/21 22:37,4/30/21 18:37,4/30/21 22:37,,,,dry,13548,15.5,16.375,15.975,5
4/30/21 22:39,4/30/21 18:39,4/30/21 22:40,,20931.687,,wet,,15.5,16.375,15.975,5
4/30/21 22:44,4/30/21 18:44,4/30/21 22:45,,5233.774,,wet,,15.5,16.375,15.975,5
4/30/21 22:49,4/30/21 18:49,4/30/21 22:50,,10466.412,,wet,,15.5,16.375,15.975,5
4/30/21 22:54,4/30/21 18:54,4/30/21 22:55,,10466.412,,wet,,15.5,16.375,15.975,5
4/30/21 22:59,4/30/21 18:59,4/30/21 23:00,,11629.22,,wet,,15.5,16.375,15.975,5
4/30/21 23:04,4/30/21 19:04,4/30/21 23:05,,15117.645,,wet,,15.5,16.375,15.975,5
4/30/21 23:09,4/30/21 19:09,4/30/21 23:10,,62.456,,wet,,15.5,16.375,15.975,5
4/30/21 23:14,4/30/21 19:14,4/30/21 23:15,,691.553,,wet,,15.5,16.375,15.975,5
4/30/21 23:19,4/30/21 19:19,4/30/21 23:20,,2617.455,,wet,,15.5,16.375,15.975,5
4/30/21 23:24,4/30/21 19:24,4/30/21 23:25,,3780.263,,wet,,15.5,16.375,15.975,5
4/30/21 23:29,4/30/21 19:29,4/30/21 23:30,,2762.806,,wet,,15.5,16.375,15.975,5
4/30/21 23:34,4/30/21 19:34,4/30/21 23:35,,2908.157,,wet,,15.5,16.375,15.975,5
4/30/21 23:39,4/30/21 19:39,4/30/21 23:40,,2181.401,,wet,,15.5,16.375,15.975,5
4/30/21 23:44,4/30/21 19:44,4/30/21 23:45,,2036.05,,wet,,15.5,16.375,15.975,5
4/30/21 23:49,4/30/21 19:49,4/30/21 23:50,,1745.348,,wet,,15.5,16.375,15.975,5
4/30/21 23:54,4/30/21 19:54,4/30/21 23:55,,1599.997,,wet,,15.5,16.375,15.975,5
4/30/21 23:59,4/30/21 19:59,5/1/21 0:00,,1381.971,,wet,,15.5,16.375,15.975,5
5/1/21 0:04,4/30/21 20:04,5/1/21 0:05,,1236.62,,wet,,11.5,15.375,14.234,24
5/1/21 0:09,4/30/21 20:09,5/1/21 0:10,,1018.593,,wet,,11.5,15.375,14.234,24
5/1/21 0:14,4/30/21 20:14,5/1/21 0:15,,873.242,,wet,,11.5,15.375,14.234,24
5/1/21 0:19,4/30/21 20:19,5/1/21 0:20,,836.904,,wet,,11.5,15.375,14.234,24
5/1/21 0:24,4/30/21 20:24,5/1/21 0:25,,800.566,,wet,,11.5,15.375,14.234,24
5/1/21 0:29,4/30/21 20:29,5/1/21 0:30,,537.118,,wet,,11.5,15.375,14.234,24
5/1/21 0:34,4/30/21 20:34,5/1/21 0:35,,346.344,,wet,,11.5,15.375,14.234,24
5/1/21 0:39,4/30/21 20:39,5/1/21 0:40,,237.331,,wet,,11.5,15.375,14.234,24
5/1/21 0:44,4/30/21 20:44,5/1/21 0:45,,151.029,,wet,,11.5,15.375,14.234,24
5/1/21 0:49,4/30/21 20:49,5/1/21 0:50,,78.353,,wet,,11.5,15.375,14.234,24
5/1/21 0:54,4/30/21 20:54,5/1/21 0:55,,37.473,,wet,,11.5,15.375,14.234,24
5/1/21 0:59,4/30/21 20:59,5/1/21 1:00,,18.169,,wet,,11.5,15.375,14.234,24
5/1/21 1:04,4/30/21 21:04,5/1/21 1:05,,9.084,,wet,,11.5,15.375,14.234,24
5/1/21 1:09,4/30/21 21:09,5/1/21 1:10,,4.542,,wet,,11.5,15.375,14.234,24
5/1/21 1:14,4/30/21 21:14,5/1/21 1:15,,1.136,,wet,,11.5,15.375,14.234,24
5/1/21 1:19,4/30/21 21:19,5/1/21 1:20,,1.136,,wet,,11.5,15.375,14.234,24
5/1/21 1:24,4/30/21 21:24,5/1/21 1:25,,1.136,,wet,,11.5,15.375,14.234,24
5/1/21 1:29,4/30/21 21:29,5/1/21 1:30,,1.136,,wet,,11.5,15.375,14.234,24
5/1/21 1:34,4/30/21 21:34,5/1/21 1:35,,1.136,,wet,,11.5,15.375,14.234,24
