Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
4/30/21 17:29,4/30/21 13:29,4/30/21 17:30,,74418.605,,wet,,15.5,16.125,15.944,9
4/30/21 17:33,4/30/21 13:33,4/30/21 17:33,,,,wet,462,15.5,16.125,15.944,9
4/30/21 17:33,4/30/21 13:33,4/30/21 17:33,,,,dry,12,15.5,16.125,15.944,9
4/30/21 17:34,4/30/21 13:34,4/30/21 17:35,,74418.605,,wet,,15.5,16.125,15.944,9
4/30/21 17:39,4/30/21 13:39,4/30/21 17:40,,60467.174,,wet,,15.5,16.125,15.944,9
4/30/21 17:44,4/30/21 13:44,4/30/21 17:45,,74418.605,,wet,,15.5,16.125,15.944,9
4/30/21 17:46,4/30/21 13:46,4/30/21 17:46,,,,wet,768,15.5,16.125,15.944,9
4/30/21 17:49,4/30/21 13:49,4/30/21 17:50,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 17:54,4/30/21 13:54,4/30/21 17:55,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 17:59,4/30/21 13:59,4/30/21 18:00,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:04,4/30/21 14:04,4/30/21 18:05,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:09,4/30/21 14:09,4/30/21 18:10,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:14,4/30/21 14:14,4/30/21 18:15,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:19,4/30/21 14:19,4/30/21 18:20,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:24,4/30/21 14:24,4/30/21 18:25,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:29,4/30/21 14:29,4/30/21 18:30,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:34,4/30/21 14:34,4/30/21 18:35,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:39,4/30/21 14:39,4/30/21 18:40,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:44,4/30/21 14:44,4/30/21 18:45,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:49,4/30/21 14:49,4/30/21 18:50,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:54,4/30/21 14:54,4/30/21 18:55,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 18:59,4/30/21 14:59,4/30/21 19:00,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 19:04,4/30/21 15:04,4/30/21 19:05,,51164.707,,dry,,15.5,16.125,15.944,9
4/30/21 19:09,4/30/21 15:09,4/30/21 19:10,,65118.408,,dry,,15.5,16.125,15.944,9
4/30/21 19:14,4/30/21 15:14,4/30/21 19:15,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 19:19,4/30/21 15:19,4/30/21 19:20,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 19:24,4/30/21 15:24,4/30/21 19:25,,65118.408,,dry,,15.5,16.125,15.944,9
4/30/21 19:29,4/30/21 15:29,4/30/21 19:30,,55815.941,,dry,,15.5,16.125,15.944,9
4/30/21 19:34,4/30/21 15:34,4/30/21 19:35,,65118.408,,dry,,15.5,16.125,15.944,9
4/30/21 19:39,4/30/21 15:39,4/30/21 19:40,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 19:44,4/30/21 15:44,4/30/21 19:45,,51164.707,,dry,,15.5,16.125,15.944,9
4/30/21 19:49,4/30/21 15:49,4/30/21 19:50,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 19:54,4/30/21 15:54,4/30/21 19:55,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 19:59,4/30/21 15:59,4/30/21 20:00,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 20:04,4/30/21 16:04,4/30/21 20:05,,74418.605,,dry,,15.5,16.125,15.944,9
4/30/21 20:09,4/30/21 16:09,4/30/21 20:10,,27908.538,,dry,,15.5,16.125,15.944,9
4/30/21 20:14,4/30/21 16:14,4/30/21 20:15,,25582.921,,dry,,15.5,16.125,15.944,9
4/30/21 20:19,4/30/21 16:19,4/30/21 20:20,,37211.006,,dry,,15.5,16.125,15.944,9
