Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/2/21 15:40,5/2/21 11:40,5/2/21 15:40,,,,wet,744,20.5,20.75,20.625,3
5/2/21 15:44,5/2/21 11:44,5/2/21 15:45,,6.813,,dry,,20.5,20.75,20.625,3
5/2/21 15:49,5/2/21 11:49,5/2/21 15:50,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 15:54,5/2/21 11:54,5/2/21 15:55,,6.813,,dry,,20.5,20.75,20.625,3
5/2/21 15:59,5/2/21 11:59,5/2/21 16:00,,6.813,,dry,,20.5,20.75,20.625,3
5/2/21 16:04,5/2/21 12:04,5/2/21 16:05,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:09,5/2/21 12:09,5/2/21 16:10,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:14,5/2/21 12:14,5/2/21 16:15,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:19,5/2/21 12:19,5/2/21 16:20,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:24,5/2/21 12:24,5/2/21 16:25,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:29,5/2/21 12:29,5/2/21 16:30,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:34,5/2/21 12:34,5/2/21 16:35,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:37,5/2/21 12:37,5/2/21 16:37,,,,dry,3426,20.5,20.75,20.625,3
5/2/21 16:38,5/2/21 12:38,5/2/21 16:38,,,,wet,84,20.5,20.75,20.625,3
5/2/21 16:39,5/2/21 12:39,5/2/21 16:40,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:44,5/2/21 12:44,5/2/21 16:45,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:49,5/2/21 12:49,5/2/21 16:50,,6.813,,dry,,20.5,20.75,20.625,3
5/2/21 16:54,5/2/21 12:54,5/2/21 16:55,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 16:59,5/2/21 12:59,5/2/21 17:00,,4.542,,dry,,20.5,20.75,20.625,3
5/2/21 17:04,5/2/21 13:04,5/2/21 17:05,,4.542,,dry,,20.5,20.75,20.625,3
5/2/21 17:09,5/2/21 13:09,5/2/21 17:10,,4.542,,dry,,20.5,20.75,20.625,3
5/2/21 17:14,5/2/21 13:14,5/2/21 17:15,,4.542,,dry,,20.5,20.75,20.625,3
5/2/21 17:19,5/2/21 13:19,5/2/21 17:20,,4.542,,dry,,20.5,20.75,20.625,3
5/2/21 17:24,5/2/21 13:24,5/2/21 17:25,,4.542,,dry,,20.5,20.75,20.625,3
5/2/21 17:29,5/2/21 13:29,5/2/21 17:30,,5.678,,dry,,20.5,20.75,20.625,3
5/2/21 17:34,5/2/21 13:34,5/2/21 17:35,,6.813,,dry,,20.5,20.75,20.625,3
