Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
4/30/21 17:44,4/30/21 13:44,4/30/21 17:45,,8431.497,,wet,,14.875,16.125,15.7,5
4/30/21 17:46,4/30/21 13:46,4/30/21 17:47,,,,wet,126,14.875,16.125,15.7,5
4/30/21 17:47,4/30/21 13:47,4/30/21 17:47,,,,dry,6,14.875,16.125,15.7,5
4/30/21 17:49,4/30/21 13:49,4/30/21 17:50,,74418.605,,wet,,14.875,16.125,15.7,5
4/30/21 17:54,4/30/21 13:54,4/30/21 17:55,,34885.389,,wet,,14.875,16.125,15.7,5
4/30/21 17:59,4/30/21 13:59,4/30/21 18:00,,69769.642,,wet,,14.875,16.125,15.7,5
4/30/21 18:04,4/30/21 14:04,4/30/21 18:05,,69769.642,,wet,,14.875,16.125,15.7,5
4/30/21 18:09,4/30/21 14:09,4/30/21 18:10,,20931.687,,wet,,14.875,16.125,15.7,5
4/30/21 18:14,4/30/21 14:14,4/30/21 18:15,,74418.605,,wet,,14.875,16.125,15.7,5
4/30/21 18:19,4/30/21 14:19,4/30/21 18:20,,60467.174,,wet,,14.875,16.125,15.7,5
4/30/21 18:24,4/30/21 14:24,4/30/21 18:25,,69769.642,,wet,,14.875,16.125,15.7,5
4/30/21 18:29,4/30/21 14:29,4/30/21 18:30,,60467.174,,wet,,14.875,16.125,15.7,5
4/30/21 18:30,4/30/21 14:30,4/30/21 18:31,,,,wet,2634,14.875,16.125,15.7,5
4/30/21 18:31,4/30/21 14:31,4/30/21 18:32,,,,dry,60,14.875,16.125,15.7,5
4/30/21 18:33,4/30/21 14:33,4/30/21 18:33,,,,wet,72,14.875,16.125,15.7,5
4/30/21 18:34,4/30/21 14:34,4/30/21 18:35,,74418.605,,dry,,14.875,16.125,15.7,5
4/30/21 18:39,4/30/21 14:39,4/30/21 18:40,,74418.605,,dry,,14.875,16.125,15.7,5
4/30/21 18:44,4/30/21 14:44,4/30/21 18:45,,69769.642,,dry,,14.875,16.125,15.7,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:50,,74418.605,,dry,,14.875,16.125,15.7,5
4/30/21 18:54,4/30/21 14:54,4/30/21 18:55,,74418.605,,dry,,14.875,16.125,15.7,5
4/30/21 18:59,4/30/21 14:59,4/30/21 19:00,,74418.605,,dry,,14.875,16.125,15.7,5
4/30/21 19:04,4/30/21 15:04,4/30/21 19:05,,74418.605,,dry,,14.875,16.125,15.7,5
