Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
4/30/21 18:49,4/30/21 14:49,4/30/21 18:49,,,,dry,6,15.625,16.75,16.05,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:49,,,,wet,12,15.625,16.75,16.05,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:49,,,,dry,6,15.625,16.75,16.05,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:49,,,,wet,6,15.625,16.75,16.05,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:49,,,,dry,6,15.625,16.75,16.05,5
4/30/21 18:49,4/30/21 14:49,4/30/21 18:50,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 18:54,4/30/21 14:54,4/30/21 18:55,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 18:59,4/30/21 14:59,4/30/21 19:00,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 19:04,4/30/21 15:04,4/30/21 19:05,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 19:09,4/30/21 15:09,4/30/21 19:10,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 19:14,4/30/21 15:14,4/30/21 19:15,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 19:19,4/30/21 15:19,4/30/21 19:20,,69769.642,,wet,,15.625,16.75,16.05,5
4/30/21 19:24,4/30/21 15:24,4/30/21 19:25,,74418.605,,wet,,15.625,16.75,16.05,5
4/30/21 19:26,4/30/21 15:26,4/30/21 19:26,,,,wet,2226,15.625,16.75,16.05,5
4/30/21 19:29,4/30/21 15:29,4/30/21 19:30,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 19:34,4/30/21 15:34,4/30/21 19:35,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 19:39,4/30/21 15:39,4/30/21 19:40,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 19:44,4/30/21 15:44,4/30/21 19:45,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 19:49,4/30/21 15:49,4/30/21 19:50,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 19:54,4/30/21 15:54,4/30/21 19:55,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 19:59,4/30/21 15:59,4/30/21 20:00,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:04,4/30/21 16:04,4/30/21 20:05,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:09,4/30/21 16:09,4/30/21 20:10,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:14,4/30/21 16:14,4/30/21 20:15,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:19,4/30/21 16:19,4/30/21 20:20,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:24,4/30/21 16:24,4/30/21 20:25,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:29,4/30/21 16:29,4/30/21 20:30,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:34,4/30/21 16:34,4/30/21 20:35,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:39,4/30/21 16:39,4/30/21 20:40,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:44,4/30/21 16:44,4/30/21 20:45,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:49,4/30/21 16:49,4/30/21 20:50,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:54,4/30/21 16:54,4/30/21 20:55,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 20:59,4/30/21 16:59,4/30/21 21:00,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:04,4/30/21 17:04,4/30/21 21:05,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:09,4/30/21 17:09,4/30/21 21:10,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:14,4/30/21 17:14,4/30/21 21:15,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:19,4/30/21 17:19,4/30/21 21:20,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:24,4/30/21 17:24,4/30/21 21:25,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:29,4/30/21 17:29,4/30/21 21:30,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:34,4/30/21 17:34,4/30/21 21:35,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:39,4/30/21 17:39,4/30/21 21:40,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:44,4/30/21 17:44,4/30/21 21:45,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:49,4/30/21 17:49,4/30/21 21:50,,65118.408,,dry,,15.625,16.75,16.05,5
4/30/21 21:54,4/30/21 17:54,4/30/21 21:55,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 21:59,4/30/21 17:59,4/30/21 22:00,,74418.605,,dry,,15.625,16.75,16.05,5
4/30/21 22:04,4/30/21 18:04,4/30/21 22:05,,69769.642,,dry,,15.625,16.75,16.05,5
4/30/21 22:09,4/30/21 18:09,4/30/21 22:10,,60467.174,,dry,,15.625,16.75,16.05,5
4/30/21 22:14,4/30/21 18:14,4/30/21 22:15,,55815.941,,dry,,15.625,16.75,16.05,5
4/30/21 22:19,4/30/21 18:19,4/30/21 22:20,,37211.006,,dry,,15.625,16.75,16.05,5
4/30/21 22:24,4/30/21 18:24,4/30/21 22:25,,41862.239,,dry,,15.625,16.75,16.05,5
4/30/21 22:29,4/30/21 18:29,4/30/21 22:30,,46513.473,,dry,,15.625,16.75,16.05,5
4/30/21 22:30,4/30/21 18:30,4/30/21 22:31,,,,dry,11052,15.625,16.75,16.05,5
4/30/21 22:34,4/30/21 18:34,4/30/21 22:35,,27908.538,,wet,,15.625,16.75,16.05,5
4/30/21 22:39,4/30/21 18:39,4/30/21 22:40,,13954.837,,wet,,15.625,16.75,16.05,5
4/30/21 22:44,4/30/21 18:44,4/30/21 22:45,,6977.986,,wet,,15.625,16.75,16.05,5
4/30/21 22:49,4/30/21 18:49,4/30/21 22:50,,6977.986,,wet,,15.625,16.75,16.05,5
4/30/21 22:54,4/30/21 18:54,4/30/21 22:55,,5815.178,,wet,,15.625,16.75,16.05,5
4/30/21 22:59,4/30/21 18:59,4/30/21 23:00,,7559.39,,wet,,15.625,16.75,16.05,5
4/30/21 23:04,4/30/21 19:04,4/30/21 23:05,,8431.497,,wet,,15.625,16.75,16.05,5
4/30/21 23:09,4/30/21 19:09,4/30/21 23:10,,4652.369,,wet,,15.625,16.75,16.05,5
4/30/21 23:14,4/30/21 19:14,4/30/21 23:15,,4943.071,,wet,,15.625,16.75,16.05,5
4/30/21 23:19,4/30/21 19:19,4/30/21 23:20,,4361.667,,wet,,15.625,16.75,16.05,5
4/30/21 23:24,4/30/21 19:24,4/30/21 23:25,,3925.614,,wet,,15.625,16.75,16.05,5
4/30/21 23:29,4/30/21 19:29,4/30/21 23:30,,4070.965,,wet,,15.625,16.75,16.05,5
4/30/21 23:34,4/30/21 19:34,4/30/21 23:35,,6396.582,,wet,,15.625,16.75,16.05,5
4/30/21 23:39,4/30/21 19:39,4/30/21 23:40,,3780.263,,wet,,15.625,16.75,16.05,5
4/30/21 23:44,4/30/21 19:44,4/30/21 23:45,,2762.806,,wet,,15.625,16.75,16.05,5
4/30/21 23:49,4/30/21 19:49,4/30/21 23:50,,2762.806,,wet,,15.625,16.75,16.05,5
4/30/21 23:54,4/30/21 19:54,4/30/21 23:55,,2472.103,,wet,,15.625,16.75,16.05,5
4/30/21 23:59,4/30/21 19:59,5/1/21 0:00,,2108.726,,wet,,15.625,16.75,16.05,5
5/1/21 0:04,4/30/21 20:04,5/1/21 0:05,,3780.263,,wet,,11.625,15.25,14.286,24
5/1/21 0:09,4/30/21 20:09,5/1/21 0:10,,2762.806,,wet,,11.625,15.25,14.286,24
5/1/21 0:14,4/30/21 20:14,5/1/21 0:15,,1163.944,,wet,,11.625,15.25,14.286,24
5/1/21 0:19,4/30/21 20:19,5/1/21 0:20,,873.242,,wet,,11.625,15.25,14.286,24
5/1/21 0:24,4/30/21 20:24,5/1/21 0:25,,691.553,,wet,,11.625,15.25,14.286,24
5/1/21 0:29,4/30/21 20:29,5/1/21 0:30,,537.118,,wet,,11.625,15.25,14.286,24
5/1/21 0:34,4/30/21 20:34,5/1/21 0:35,,373.598,,wet,,11.625,15.25,14.286,24
5/1/21 0:39,4/30/21 20:39,5/1/21 0:40,,260.042,,wet,,11.625,15.25,14.286,24
5/1/21 0:44,4/30/21 20:44,5/1/21 0:45,,160.113,,wet,,11.625,15.25,14.286,24
5/1/21 0:49,4/30/21 20:49,5/1/21 0:50,,80.624,,wet,,11.625,15.25,14.286,24
5/1/21 0:54,4/30/21 20:54,5/1/21 0:55,,40.88,,wet,,11.625,15.25,14.286,24
5/1/21 0:59,4/30/21 20:59,5/1/21 1:00,,19.304,,wet,,11.625,15.25,14.286,24
5/1/21 1:04,4/30/21 21:04,5/1/21 1:05,,10.22,,wet,,11.625,15.25,14.286,24
5/1/21 1:09,4/30/21 21:09,5/1/21 1:10,,3.407,,wet,,11.625,15.25,14.286,24
5/1/21 1:14,4/30/21 21:14,5/1/21 1:15,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:19,4/30/21 21:19,5/1/21 1:20,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:24,4/30/21 21:24,5/1/21 1:25,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:29,4/30/21 21:29,5/1/21 1:30,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:34,4/30/21 21:34,5/1/21 1:35,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:39,4/30/21 21:39,5/1/21 1:40,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:44,4/30/21 21:44,5/1/21 1:45,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:49,4/30/21 21:49,5/1/21 1:50,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:54,4/30/21 21:54,5/1/21 1:55,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 1:59,4/30/21 21:59,5/1/21 2:00,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 2:04,4/30/21 22:04,5/1/21 2:05,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 2:09,4/30/21 22:09,5/1/21 2:10,,1.136,,wet,,11.625,15.25,14.286,24
5/1/21 2:14,4/30/21 22:14,5/1/21 2:15,,1.136,,wet,,11.625,15.25,14.286,24
