Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/4/21 8:04,5/4/21 4:04,5/4/21 8:05,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:09,5/4/21 4:09,5/4/21 8:10,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:14,5/4/21 4:14,5/4/21 8:15,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:19,5/4/21 4:19,5/4/21 8:20,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:24,5/4/21 4:24,5/4/21 8:25,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:29,5/4/21 4:29,5/4/21 8:30,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:34,5/4/21 4:34,5/4/21 8:35,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:39,5/4/21 4:39,5/4/21 8:40,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:44,5/4/21 4:44,5/4/21 8:45,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:49,5/4/21 4:49,5/4/21 8:50,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:54,5/4/21 4:54,5/4/21 8:55,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 8:59,5/4/21 4:59,5/4/21 9:00,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:04,5/4/21 5:04,5/4/21 9:05,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:09,5/4/21 5:09,5/4/21 9:10,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:14,5/4/21 5:14,5/4/21 9:15,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:19,5/4/21 5:19,5/4/21 9:20,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:24,5/4/21 5:24,5/4/21 9:25,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:29,5/4/21 5:29,5/4/21 9:30,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:34,5/4/21 5:34,5/4/21 9:35,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:39,5/4/21 5:39,5/4/21 9:40,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:44,5/4/21 5:44,5/4/21 9:45,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:49,5/4/21 5:49,5/4/21 9:50,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:54,5/4/21 5:54,5/4/21 9:55,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 9:59,5/4/21 5:59,5/4/21 10:00,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 10:04,5/4/21 6:04,5/4/21 10:05,,1.136,,wet,,15.625,16.75,16.733,22
5/4/21 10:09,5/4/21 6:09,5/4/21 10:10,,2.271,,wet,,15.625,16.75,16.733,22
5/4/21 10:14,5/4/21 6:14,5/4/21 10:15,,9.084,,wet,,15.625,16.75,16.733,22
5/4/21 10:19,5/4/21 6:19,5/4/21 10:20,,10.22,,wet,,15.625,16.75,16.733,22
5/4/21 10:24,5/4/21 6:24,5/4/21 10:25,,13.627,,wet,,15.625,16.75,16.733,22
5/4/21 10:29,5/4/21 6:29,5/4/21 10:30,,27.253,,wet,,15.625,16.75,16.733,22
5/4/21 10:34,5/4/21 6:34,5/4/21 10:35,,37.473,,wet,,15.625,16.75,16.733,22
5/4/21 10:39,5/4/21 6:39,5/4/21 10:40,,91.98,,wet,,15.625,16.75,16.733,22
5/4/21 10:44,5/4/21 6:44,5/4/21 10:45,,187.367,,wet,,15.625,16.75,16.733,22
5/4/21 10:49,5/4/21 6:49,5/4/21 10:50,,237.331,,wet,,15.625,16.75,16.733,22
5/4/21 10:54,5/4/21 6:54,5/4/21 10:55,,250.958,,wet,,15.625,16.75,16.733,22
5/4/21 10:59,5/4/21 6:59,5/4/21 11:00,,291.838,,wet,,15.625,16.75,16.733,22
5/4/21 11:04,5/4/21 7:04,5/4/21 11:05,,455.358,,wet,,15.625,16.75,16.733,22
5/4/21 11:09,5/4/21 7:09,5/4/21 11:10,,291.838,,wet,,15.625,16.75,16.733,22
5/4/21 11:14,5/4/21 7:14,5/4/21 11:15,,310.007,,wet,,15.625,16.75,16.733,22
5/4/21 11:19,5/4/21 7:19,5/4/21 11:20,,518.949,,wet,,15.625,16.75,16.733,22
5/4/21 11:24,5/4/21 7:24,5/4/21 11:25,,564.371,,wet,,15.625,16.75,16.733,22
5/4/21 11:29,5/4/21 7:29,5/4/21 11:30,,836.904,,wet,,15.625,16.75,16.733,22
5/4/21 11:34,5/4/21 7:34,5/4/21 11:35,,1054.931,,wet,,15.625,16.75,16.733,22
5/4/21 11:39,5/4/21 7:39,5/4/21 11:40,,836.904,,wet,,15.625,16.75,16.733,22
5/4/21 11:44,5/4/21 7:44,5/4/21 11:45,,1236.62,,wet,,15.625,16.75,16.733,22
5/4/21 11:49,5/4/21 7:49,5/4/21 11:50,,727.891,,wet,,15.625,16.75,16.733,22
5/4/21 11:54,5/4/21 7:54,5/4/21 11:55,,582.54,,wet,,15.625,16.75,16.733,22
5/4/21 11:59,5/4/21 7:59,5/4/21 12:00,,909.58,,wet,,15.625,16.75,16.733,22
5/4/21 12:04,5/4/21 8:04,5/4/21 12:05,,1381.971,,wet,,15.625,16.75,16.733,22
5/4/21 12:09,5/4/21 8:09,5/4/21 12:10,,1599.997,,wet,,15.625,16.75,16.733,22
5/4/21 12:14,5/4/21 8:14,5/4/21 12:15,,1890.699,,wet,,15.625,16.75,16.733,22
5/4/21 12:19,5/4/21 8:19,5/4/21 12:20,,2617.455,,wet,,15.625,16.75,16.733,22
5/4/21 12:24,5/4/21 8:24,5/4/21 12:25,,2326.752,,wet,,15.625,16.75,16.733,22
5/4/21 12:29,5/4/21 8:29,5/4/21 12:30,,3634.912,,wet,,15.625,16.75,16.733,22
5/4/21 12:34,5/4/21 8:34,5/4/21 12:35,,3634.912,,wet,,15.625,16.75,16.733,22
5/4/21 12:39,5/4/21 8:39,5/4/21 12:40,,3053.508,,wet,,15.625,16.75,16.733,22
5/4/21 12:44,5/4/21 8:44,5/4/21 12:45,,4943.071,,wet,,15.625,16.75,16.733,22
5/4/21 12:49,5/4/21 8:49,5/4/21 12:50,,4361.667,,wet,,15.625,16.75,16.733,22
5/4/21 12:54,5/4/21 8:54,5/4/21 12:55,,3925.614,,wet,,15.625,16.75,16.733,22
5/4/21 12:59,5/4/21 8:59,5/4/21 13:00,,4943.071,,wet,,15.625,16.75,16.733,22
5/4/21 13:04,5/4/21 9:04,5/4/21 13:05,,4361.667,,wet,,15.625,16.75,16.733,22
5/4/21 13:09,5/4/21 9:09,5/4/21 13:10,,4652.369,,wet,,15.625,16.75,16.733,22
5/4/21 13:14,5/4/21 9:14,5/4/21 13:15,,4507.018,,wet,,15.625,16.75,16.733,22
