Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/4/21 20:19,5/4/21 16:19,5/4/21 20:20,,9012.901,,wet,,15.75,16.375,16.125,11
5/4/21 20:24,5/4/21 16:24,5/4/21 20:25,,6396.582,,wet,,15.75,16.375,16.125,11
5/4/21 20:29,5/4/21 16:29,5/4/21 20:30,,5233.774,,wet,,15.75,16.375,16.125,11
5/4/21 20:34,5/4/21 16:34,5/4/21 20:35,,4943.071,,wet,,15.75,16.375,16.125,11
5/4/21 20:39,5/4/21 16:39,5/4/21 20:40,,11629.22,,wet,,15.75,16.375,16.125,11
5/4/21 20:44,5/4/21 16:44,5/4/21 20:45,,4652.369,,wet,,15.75,16.375,16.125,11
5/4/21 20:49,5/4/21 16:49,5/4/21 20:50,,4070.965,,wet,,15.75,16.375,16.125,11
5/4/21 20:54,5/4/21 16:54,5/4/21 20:55,,2617.455,,wet,,15.75,16.375,16.125,11
5/4/21 20:59,5/4/21 16:59,5/4/21 21:00,,3634.912,,wet,,15.75,16.375,16.125,11
5/4/21 21:04,5/4/21 17:04,5/4/21 21:05,,3053.508,,wet,,15.75,16.375,16.125,11
5/4/21 21:09,5/4/21 17:09,5/4/21 21:10,,1963.375,,wet,,15.75,16.375,16.125,11
5/4/21 21:14,5/4/21 17:14,5/4/21 21:15,,2254.077,,wet,,15.75,16.375,16.125,11
5/4/21 21:19,5/4/21 17:19,5/4/21 21:20,,4652.369,,wet,,15.75,16.375,16.125,11
5/4/21 21:24,5/4/21 17:24,5/4/21 21:25,,3344.21,,wet,,15.75,16.375,16.125,11
5/4/21 21:29,5/4/21 17:29,5/4/21 21:30,,3489.561,,wet,,15.75,16.375,16.125,11
5/4/21 21:34,5/4/21 17:34,5/4/21 21:35,,4652.369,,wet,,15.75,16.375,16.125,11
5/4/21 21:39,5/4/21 17:39,5/4/21 21:40,,4652.369,,wet,,15.75,16.375,16.125,11
5/4/21 21:44,5/4/21 17:44,5/4/21 21:45,,4070.965,,wet,,15.75,16.375,16.125,11
5/4/21 21:49,5/4/21 17:49,5/4/21 21:50,,3925.614,,wet,,15.75,16.375,16.125,11
5/4/21 21:54,5/4/21 17:54,5/4/21 21:55,,5233.774,,wet,,15.75,16.375,16.125,11
5/4/21 21:59,5/4/21 17:59,5/4/21 22:00,,2617.455,,wet,,15.75,16.375,16.125,11
5/4/21 22:04,5/4/21 18:04,5/4/21 22:05,,2617.455,,wet,,15.75,16.375,16.125,11
5/4/21 22:09,5/4/21 18:09,5/4/21 22:10,,1890.699,,wet,,15.75,16.375,16.125,11
5/4/21 22:14,5/4/21 18:14,5/4/21 22:15,,1599.997,,wet,,15.75,16.375,16.125,11
5/4/21 22:19,5/4/21 18:19,5/4/21 22:20,,873.242,,wet,,15.75,16.375,16.125,11
5/4/21 22:24,5/4/21 18:24,5/4/21 22:25,,618.878,,wet,,15.75,16.375,16.125,11
5/4/21 22:29,5/4/21 18:29,5/4/21 22:30,,945.917,,wet,,15.75,16.375,16.125,11
5/4/21 22:34,5/4/21 18:34,5/4/21 22:35,,1091.268,,wet,,15.75,16.375,16.125,11
5/4/21 22:39,5/4/21 18:39,5/4/21 22:40,,428.104,,wet,,15.75,16.375,16.125,11
5/4/21 22:44,5/4/21 18:44,5/4/21 22:45,,764.229,,wet,,15.75,16.375,16.125,11
5/4/21 22:49,5/4/21 18:49,5/4/21 22:50,,269.127,,wet,,15.75,16.375,16.125,11
5/4/21 22:54,5/4/21 18:54,5/4/21 22:55,,691.553,,wet,,15.75,16.375,16.125,11
5/4/21 22:59,5/4/21 18:59,5/4/21 23:00,,537.118,,wet,,15.75,16.375,16.125,11
5/4/21 23:04,5/4/21 19:04,5/4/21 23:05,,655.215,,wet,,15.75,16.375,16.125,11
