Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/2/21 19:29,5/2/21 15:29,5/2/21 19:30,,74418.605,,wet,,20.375,20.5,20.469,4
5/2/21 19:32,5/2/21 15:32,5/2/21 19:32,,,,wet,288,20.375,20.5,20.469,4
5/2/21 19:32,5/2/21 15:32,5/2/21 19:33,,,,dry,6,20.375,20.5,20.469,4
5/2/21 19:33,5/2/21 15:33,5/2/21 19:33,,,,wet,18,20.375,20.5,20.469,4
5/2/21 19:33,5/2/21 15:33,5/2/21 19:33,,,,dry,12,20.375,20.5,20.469,4
5/2/21 19:34,5/2/21 15:34,5/2/21 19:35,,69769.642,,wet,,20.375,20.5,20.469,4
5/2/21 19:38,5/2/21 15:38,5/2/21 19:38,,,,wet,276,20.375,20.5,20.469,4
5/2/21 19:38,5/2/21 15:38,5/2/21 19:38,,,,dry,18,20.375,20.5,20.469,4
5/2/21 19:38,5/2/21 15:38,5/2/21 19:38,,,,wet,6,20.375,20.5,20.469,4
5/2/21 19:38,5/2/21 15:38,5/2/21 19:38,,,,dry,18,20.375,20.5,20.469,4
5/2/21 19:38,5/2/21 15:38,5/2/21 19:38,,,,wet,6,20.375,20.5,20.469,4
5/2/21 19:39,5/2/21 15:39,5/2/21 19:40,,41862.239,,dry,66,20.375,20.5,20.469,4
5/2/21 19:40,5/2/21 15:40,5/2/21 19:40,,,,wet,6,20.375,20.5,20.469,4
5/2/21 19:40,5/2/21 15:40,5/2/21 19:41,,,,dry,54,20.375,20.5,20.469,4
5/2/21 19:44,5/2/21 15:44,5/2/21 19:45,,51164.707,,wet,,20.375,20.5,20.469,4
5/2/21 19:49,5/2/21 15:49,5/2/21 19:50,,74418.605,,wet,,20.375,20.5,20.469,4
5/2/21 19:52,5/2/21 15:52,5/2/21 19:52,,,,wet,714,20.375,20.5,20.469,4
