Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/2/21 13:06,5/2/21 9:06,5/2/21 13:06,,,,dry,18384,22.25,22.25,22.25,1
5/2/21 13:09,5/2/21 9:09,5/2/21 13:10,,2326.752,,wet,,22.25,22.25,22.25,1
5/2/21 13:13,5/2/21 9:13,5/2/21 13:13,,,,wet,414,22.25,22.25,22.25,1
5/2/21 13:14,5/2/21 9:14,5/2/21 13:15,,1054.931,,dry,,22.25,22.25,22.25,1
5/2/21 13:19,5/2/21 9:19,5/2/21 13:20,,1381.971,,dry,,22.25,22.25,22.25,1
5/2/21 13:24,5/2/21 9:24,5/2/21 13:25,,1309.295,,dry,,22.25,22.25,22.25,1
5/2/21 13:29,5/2/21 9:29,5/2/21 13:30,,1236.62,,dry,,22.25,22.25,22.25,1
5/2/21 13:34,5/2/21 9:34,5/2/21 13:35,,1236.62,,dry,,22.25,22.25,22.25,1
5/2/21 13:39,5/2/21 9:39,5/2/21 13:40,,1454.646,,dry,,22.25,22.25,22.25,1
5/2/21 13:44,5/2/21 9:44,5/2/21 13:45,,1454.646,,dry,,22.25,22.25,22.25,1
5/2/21 13:49,5/2/21 9:49,5/2/21 13:50,,982.255,,dry,,22.25,22.25,22.25,1
5/2/21 13:54,5/2/21 9:54,5/2/21 13:55,,1309.295,,dry,,22.25,22.25,22.25,1
5/2/21 13:59,5/2/21 9:59,5/2/21 14:00,,909.58,,dry,,22.25,22.25,22.25,1
5/2/21 14:04,5/2/21 10:04,5/2/21 14:05,,5233.774,,dry,,22.25,22.25,22.25,1
5/2/21 14:09,5/2/21 10:09,5/2/21 14:10,,1454.646,,dry,,22.25,22.25,22.25,1
5/2/21 14:14,5/2/21 10:14,5/2/21 14:15,,909.58,,dry,,22.25,22.25,22.25,1
5/2/21 14:19,5/2/21 10:19,5/2/21 14:20,,7268.688,,dry,,22.25,22.25,22.25,1
5/2/21 14:24,5/2/21 10:24,5/2/21 14:25,,55.642,,dry,,22.25,22.25,22.25,1
5/2/21 14:29,5/2/21 10:29,5/2/21 14:30,,26.118,,dry,,22.25,22.25,22.25,1
5/2/21 14:34,5/2/21 10:34,5/2/21 14:35,,30.66,,dry,,22.25,22.25,22.25,1
5/2/21 14:39,5/2/21 10:39,5/2/21 14:40,,28.389,,dry,,22.25,22.25,22.25,1
5/2/21 14:44,5/2/21 10:44,5/2/21 14:45,,30.66,,dry,,22.25,22.25,22.25,1
5/2/21 14:49,5/2/21 10:49,5/2/21 14:50,,32.931,,dry,,22.25,22.25,22.25,1
5/2/21 14:54,5/2/21 10:54,5/2/21 14:55,,53.371,,dry,,22.25,22.25,22.25,1
5/2/21 14:59,5/2/21 10:59,5/2/21 15:00,,62.456,,dry,,22.25,22.25,22.25,1
5/2/21 15:04,5/2/21 11:04,5/2/21 15:05,,82.896,,dry,,22.25,22.25,22.25,1
5/2/21 15:09,5/2/21 11:09,5/2/21 15:10,,105.607,,dry,,22.25,22.25,22.25,1
5/2/21 15:14,5/2/21 11:14,5/2/21 15:15,,71.54,,dry,,22.25,22.25,22.25,1
5/2/21 15:19,5/2/21 11:19,5/2/21 15:20,,56.778,,dry,,22.25,22.25,22.25,1
5/2/21 15:24,5/2/21 11:24,5/2/21 15:25,,78.353,,dry,,22.25,22.25,22.25,1
5/2/21 15:29,5/2/21 11:29,5/2/21 15:30,,112.42,,dry,,22.25,22.25,22.25,1
5/2/21 15:34,5/2/21 11:34,5/2/21 15:35,,232.789,,dry,,22.25,22.25,22.25,1
5/2/21 15:39,5/2/21 11:39,5/2/21 15:40,,582.54,,dry,,22.25,22.25,22.25,1
5/2/21 15:44,5/2/21 11:44,5/2/21 15:45,,1309.295,,dry,,22.25,22.25,22.25,1
5/2/21 15:49,5/2/21 11:49,5/2/21 15:50,,518.949,,dry,,22.25,22.25,22.25,1
5/2/21 15:54,5/2/21 11:54,5/2/21 15:55,,655.215,,dry,,22.25,22.25,22.25,1
5/2/21 15:59,5/2/21 11:59,5/2/21 16:00,,909.58,,dry,,22.25,22.25,22.25,1
5/2/21 16:04,5/2/21 12:04,5/2/21 16:05,,1309.295,,dry,,22.25,22.25,22.25,1
5/2/21 16:09,5/2/21 12:09,5/2/21 16:10,,1818.024,,dry,,22.25,22.25,22.25,1
5/2/21 16:14,5/2/21 12:14,5/2/21 16:15,,873.242,,dry,,22.25,22.25,22.25,1
5/2/21 16:19,5/2/21 12:19,5/2/21 16:20,,1127.606,,dry,,22.25,22.25,22.25,1
5/2/21 16:24,5/2/21 12:24,5/2/21 16:25,,455.358,,dry,,22.25,22.25,22.25,1
5/2/21 16:29,5/2/21 12:29,5/2/21 16:30,,655.215,,dry,,22.25,22.25,22.25,1
5/2/21 16:34,5/2/21 12:34,5/2/21 16:35,,1963.375,,dry,,22.25,22.25,22.25,1
5/2/21 16:39,5/2/21 12:39,5/2/21 16:40,,3344.21,,dry,,22.25,22.25,22.25,1
