Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/20/21 17:15,5/20/21 13:15,5/20/21 17:15,,,,dry,774,22.875,24.125,23.594,4
5/20/21 17:15,5/20/21 13:15,5/20/21 17:15,,,,wet,24,22.875,24.125,23.594,4
5/20/21 17:16,5/20/21 13:16,5/20/21 17:16,,,,dry,48,22.875,24.125,23.594,4
5/20/21 17:17,5/20/21 13:17,5/20/21 17:17,,,,wet,78,22.875,24.125,23.594,4
5/20/21 17:19,5/20/21 13:19,5/20/21 17:20,,4.542,,dry,,22.875,24.125,23.594,4
5/20/21 17:24,5/20/21 13:24,5/20/21 17:25,,5.678,,dry,,22.875,24.125,23.594,4
5/20/21 17:28,5/20/21 13:28,5/20/21 17:28,,,,dry,648,22.875,24.125,23.594,4
5/20/21 17:29,5/20/21 13:29,5/20/21 17:30,,5.678,,wet,,22.875,24.125,23.594,4
5/20/21 17:34,5/20/21 13:34,5/20/21 17:35,,4.542,,wet,,22.875,24.125,23.594,4
5/20/21 17:39,5/20/21 13:39,5/20/21 17:40,,546.202,,wet,,22.875,24.125,23.594,4
5/20/21 17:44,5/20/21 13:44,5/20/21 17:45,,32559.772,,wet,,22.875,24.125,23.594,4
5/20/21 17:49,5/20/21 13:49,5/20/21 17:50,,25582.921,,wet,,22.875,24.125,23.594,4
5/20/21 17:54,5/20/21 13:54,5/20/21 17:55,,23257.304,,wet,,22.875,24.125,23.594,4
5/20/21 17:56,5/20/21 13:56,5/20/21 17:56,,,,wet,1704,22.875,24.125,23.594,4
5/20/21 17:59,5/20/21 13:59,5/20/21 18:00,,23257.304,,dry,,22.875,24.125,23.594,4
5/20/21 18:03,5/20/21 14:03,5/20/21 18:03,,,,dry,396,22.875,24.125,23.594,4
5/20/21 18:04,5/20/21 14:04,5/20/21 18:05,,69769.642,,wet,,22.875,24.125,23.594,4
