Name,Sex,Notch,AVID,Datalogger,Ibutton,Release Date,Time
Alvin,Male,GGIVW,056 333 553,BW283,BB021,4/30/21,16:34
April,Female,ALQW,056 034 860,BX047,FD421,4/30/21,14:27
Betty,Female,HLMN,NA,BW247,AC8E21,4/30/21,13:30
Bugs,Male,JJPV,NA,BW143,CB5121,5/2/21,11:40
Carmen,Female,BBVV,NA,BX052,DC1CB21,4/30/21,13:44
Chip,Male,BBCC,NA,BW010,C32B21,5/4/21,
Dale,Male,AADQQ,056 335 793,BW169,69B21,5/4/21,16:53
Dot,Female,GGIIQ,071 030 380,BW663,E83921,4/30/21,14:49
Elsa,Female,BLNV,NA,BW008,A69521,5/2/21,15:21
Ernie,Male,BBDD,NA,BW638,89721,5/4/21,
Felix,Male,AABBI,NA,BW749,NA,5/4/21,16:19
Fiona,Female,EFFL,NA,BW177,B04821,5/2/21,15:29
Granny,Female,BLPX,056 308 543,BW762,B6721,5/2/21,9:06
Grouch,Male,BBEE,NA,BW696,44921,5/20/21,13:15
Hubert,Male,ABKOX,050 781 039,BW235,18421,5/22/21,18:44
Marlo,Female,DHH,055 861 093,BX048,D8EF821,4/30/21,11:50
Satan,Male,KKOPW,NA,BW666,10621,5/22/21,13:14
Ziggy,Male,EGGN,055 523 327,BW712,E7F21,5/4/21,16:54
