Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
4/30/21 15:50,4/30/21 11:50,4/30/21 15:50,,437.189,,wet,,15.625,17,16.264,9
4/30/21 15:55,4/30/21 11:55,4/30/21 15:55,,764.229,,wet,,15.625,17,16.264,9
4/30/21 16:00,4/30/21 12:00,4/30/21 16:00,,909.58,,wet,,15.625,17,16.264,9
4/30/21 16:05,4/30/21 12:05,4/30/21 16:05,,618.878,,wet,,15.625,17,16.264,9
4/30/21 16:10,4/30/21 12:10,4/30/21 16:10,,800.566,,wet,,15.625,17,16.264,9
4/30/21 16:12,4/30/21 12:12,4/30/21 16:12,,,,wet,1380,15.625,17,16.264,9
4/30/21 16:12,4/30/21 12:12,4/30/21 16:12,,,,dry,18,15.625,17,16.264,9
4/30/21 16:15,4/30/21 12:15,4/30/21 16:15,,691.553,,wet,,15.625,17,16.264,9
4/30/21 16:20,4/30/21 12:20,4/30/21 16:20,,655.215,,wet,,15.625,17,16.264,9
4/30/21 16:20,4/30/21 12:20,4/30/21 16:20,,,,wet,444,15.625,17,16.264,9
4/30/21 16:20,4/30/21 12:20,4/30/21 16:20,,,,dry,12,15.625,17,16.264,9
4/30/21 16:20,4/30/21 12:20,4/30/21 16:20,,,,wet,36,15.625,17,16.264,9
4/30/21 16:21,4/30/21 12:21,4/30/21 16:21,,,,dry,6,15.625,17,16.264,9
4/30/21 16:21,4/30/21 12:21,4/30/21 16:21,,,,wet,18,15.625,17,16.264,9
4/30/21 16:21,4/30/21 12:21,4/30/21 16:21,,,,dry,30,15.625,17,16.264,9
4/30/21 16:22,4/30/21 12:22,4/30/21 16:22,,,,wet,30,15.625,17,16.264,9
4/30/21 16:23,4/30/21 12:23,4/30/21 16:23,,,,dry,42,15.625,17,16.264,9
4/30/21 16:23,4/30/21 12:23,4/30/21 16:23,,,,wet,36,15.625,17,16.264,9
4/30/21 16:25,4/30/21 12:25,4/30/21 16:25,,727.891,,dry,,15.625,17,16.264,9
4/30/21 16:28,4/30/21 12:28,4/30/21 16:28,,,,dry,306,15.625,17,16.264,9
4/30/21 16:30,4/30/21 12:30,4/30/21 16:30,,518.949,,wet,,15.625,17,16.264,9
4/30/21 16:35,4/30/21 12:35,4/30/21 16:35,,1818.024,,wet,,15.625,17,16.264,9
4/30/21 16:36,4/30/21 12:36,4/30/21 16:36,,,,wet,468,15.625,17,16.264,9
4/30/21 16:40,4/30/21 12:40,4/30/21 16:40,,9303.603,,dry,,15.625,17,16.264,9
4/30/21 16:45,4/30/21 12:45,4/30/21 16:45,,836.904,,dry,,15.625,17,16.264,9
4/30/21 16:50,4/30/21 12:50,4/30/21 16:50,,1163.944,,dry,,15.625,17,16.264,9
4/30/21 16:55,4/30/21 12:55,4/30/21 16:55,,618.878,,dry,,15.625,17,16.264,9
4/30/21 17:00,4/30/21 13:00,4/30/21 17:00,,20931.687,,dry,,15.625,17,16.264,9
4/30/21 17:05,4/30/21 13:05,4/30/21 17:05,,6.813,,dry,,15.625,17,16.264,9
4/30/21 17:10,4/30/21 13:10,4/30/21 17:10,,4.542,,dry,,15.625,17,16.264,9
4/30/21 17:15,4/30/21 13:15,4/30/21 17:15,,7.949,,dry,,15.625,17,16.264,9
4/30/21 17:20,4/30/21 13:20,4/30/21 17:20,,11.356,,dry,,15.625,17,16.264,9
4/30/21 17:25,4/30/21 13:25,4/30/21 17:25,,10.22,,dry,,15.625,17,16.264,9
4/30/21 17:30,4/30/21 13:30,4/30/21 17:30,,6.813,,dry,,15.625,17,16.264,9
4/30/21 17:35,4/30/21 13:35,4/30/21 17:35,,6.813,,dry,,15.625,17,16.264,9
4/30/21 17:40,4/30/21 13:40,4/30/21 17:40,,10.22,,dry,,15.625,17,16.264,9
4/30/21 17:45,4/30/21 13:45,4/30/21 17:45,,6.813,,dry,,15.625,17,16.264,9
4/30/21 17:50,4/30/21 13:50,4/30/21 17:50,,6.813,,dry,,15.625,17,16.264,9
4/30/21 17:55,4/30/21 13:55,4/30/21 17:55,,5.678,,dry,,15.625,17,16.264,9
4/30/21 18:00,4/30/21 14:00,4/30/21 18:00,,5.678,,dry,,15.625,17,16.264,9
4/30/21 18:05,4/30/21 14:05,4/30/21 18:05,,5.678,,dry,,15.625,17,16.264,9
4/30/21 18:10,4/30/21 14:10,4/30/21 18:10,,5.678,,dry,,15.625,17,16.264,9
4/30/21 18:15,4/30/21 14:15,4/30/21 18:15,,5.678,,dry,,15.625,17,16.264,9
4/30/21 18:20,4/30/21 14:20,4/30/21 18:20,,5.678,,dry,,15.625,17,16.264,9
