Adjusted UTC Time,Adjusted Local Time,Original UTC Time,Temp,Light,Wets,Wet/Dry,Duration,Wet Temp (min),Wet Temp (max),Wet Temp (mean),Wet Temp (samples)
5/4/21 20:54,5/4/21 16:54,5/4/21 20:55,,4652.369,,wet,,16,16.375,16.181,9
5/4/21 20:59,5/4/21 16:59,5/4/21 21:00,,4943.071,,wet,,16,16.375,16.181,9
5/4/21 21:04,5/4/21 17:04,5/4/21 21:05,,7850.093,,wet,,16,16.375,16.181,9
5/4/21 21:09,5/4/21 17:09,5/4/21 21:10,,6687.284,,wet,,16,16.375,16.181,9
5/4/21 21:14,5/4/21 17:14,5/4/21 21:15,,4652.369,,wet,,16,16.375,16.181,9
5/4/21 21:19,5/4/21 17:19,5/4/21 21:20,,3344.21,,wet,,16,16.375,16.181,9
5/4/21 21:24,5/4/21 17:24,5/4/21 21:25,,1163.944,,wet,,16,16.375,16.181,9
5/4/21 21:29,5/4/21 17:29,5/4/21 21:30,,4070.965,,wet,,16,16.375,16.181,9
5/4/21 21:34,5/4/21 17:34,5/4/21 21:35,,6396.582,,wet,,16,16.375,16.181,9
5/4/21 21:39,5/4/21 17:39,5/4/21 21:40,,13954.837,,wet,,16,16.375,16.181,9
5/4/21 21:44,5/4/21 17:44,5/4/21 21:45,,15117.645,,wet,,16,16.375,16.181,9
5/4/21 21:49,5/4/21 17:49,5/4/21 21:50,,10466.412,,wet,,16,16.375,16.181,9
5/4/21 21:54,5/4/21 17:54,5/4/21 21:55,,9303.603,,wet,,16,16.375,16.181,9
5/4/21 21:59,5/4/21 17:59,5/4/21 22:00,,12792.028,,wet,,16,16.375,16.181,9
5/4/21 22:04,5/4/21 18:04,5/4/21 22:05,,9303.603,,wet,,16,16.375,16.181,9
5/4/21 22:09,5/4/21 18:09,5/4/21 22:10,,4361.667,,wet,,16,16.375,16.181,9
5/4/21 22:14,5/4/21 18:14,5/4/21 22:15,,3198.859,,wet,,16,16.375,16.181,9
5/4/21 22:19,5/4/21 18:19,5/4/21 22:20,,2254.077,,wet,,16,16.375,16.181,9
5/4/21 22:24,5/4/21 18:24,5/4/21 22:25,,1745.348,,wet,,16,16.375,16.181,9
5/4/21 22:29,5/4/21 18:29,5/4/21 22:30,,2036.05,,wet,,16,16.375,16.181,9
5/4/21 22:34,5/4/21 18:34,5/4/21 22:35,,228.247,,wet,,16,16.375,16.181,9
5/4/21 22:39,5/4/21 18:39,5/4/21 22:40,,1091.268,,wet,,16,16.375,16.181,9
5/4/21 22:44,5/4/21 18:44,5/4/21 22:45,,1672.673,,wet,,16,16.375,16.181,9
5/4/21 22:49,5/4/21 18:49,5/4/21 22:50,,1454.646,,wet,,16,16.375,16.181,9
