"Adjusted UTC Time","Adjusted Local Time","Original UTC Time",Temp,Light,Wets,Wet/Dry,Duration,"Wet Temp (min)","Wet Temp (max)","Wet Temp (mean)","Wet Temp (samples)"
"2021-05-22 08:04:58","2021-05-22 04:04:58","2021-05-22 08:05:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:09:58","2021-05-22 04:09:58","2021-05-22 08:10:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:14:58","2021-05-22 04:14:58","2021-05-22 08:15:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:19:58","2021-05-22 04:19:58","2021-05-22 08:20:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:24:58","2021-05-22 04:24:58","2021-05-22 08:25:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:29:58","2021-05-22 04:29:58","2021-05-22 08:30:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:34:58","2021-05-22 04:34:58","2021-05-22 08:35:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:39:58","2021-05-22 04:39:58","2021-05-22 08:40:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:44:58","2021-05-22 04:44:58","2021-05-22 08:45:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:49:58","2021-05-22 04:49:58","2021-05-22 08:50:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:54:58","2021-05-22 04:54:58","2021-05-22 08:55:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 08:59:58","2021-05-22 04:59:58","2021-05-22 09:00:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:04:58","2021-05-22 05:04:58","2021-05-22 09:05:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:09:58","2021-05-22 05:09:58","2021-05-22 09:10:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:14:58","2021-05-22 05:14:58","2021-05-22 09:15:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:19:58","2021-05-22 05:19:58","2021-05-22 09:20:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:24:58","2021-05-22 05:24:58","2021-05-22 09:25:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:29:58","2021-05-22 05:29:58","2021-05-22 09:30:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:34:58","2021-05-22 05:34:58","2021-05-22 09:35:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:39:58","2021-05-22 05:39:58","2021-05-22 09:40:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:44:58","2021-05-22 05:44:58","2021-05-22 09:45:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:49:58","2021-05-22 05:49:58","2021-05-22 09:50:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:54:58","2021-05-22 05:54:58","2021-05-22 09:55:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 09:59:57","2021-05-22 05:59:57","2021-05-22 10:00:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:04:57","2021-05-22 06:04:57","2021-05-22 10:05:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:09:57","2021-05-22 06:09:57","2021-05-22 10:10:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:14:57","2021-05-22 06:14:57","2021-05-22 10:15:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:19:57","2021-05-22 06:19:57","2021-05-22 10:20:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:24:57","2021-05-22 06:24:57","2021-05-22 10:25:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:29:57","2021-05-22 06:29:57","2021-05-22 10:30:00",,1.136,,dry,,22.125,22.125,22.125,1
"2021-05-22 10:34:57","2021-05-22 06:34:57","2021-05-22 10:35:00",,1.136,,dry,,22.125,22.125,22.125,1
