Name,Sex,Date,StateChange
Alvin,Male,5/1/21,6
April,Female,5/1/21,4
Betty,Female,5/1/21,2
Carmen,Female,5/1/21,6
Dot,Female,5/1/21,2
Marlo,Female,5/1/21,2
Alvin,Male,5/2/21,2
April,Female,5/2/21,10
Betty,Female,5/2/21,9
Bugs,Male,5/2/21,9
Carmen,Female,5/2/21,5
Dot,Female,5/2/21,21
Elsa,Female,5/2/21,12
Fiona,Female,5/2/21,6
Granny,Female,5/2/21,9
Marlo,Female,5/2/21,9
Alvin,Male,5/3/21,2
April,Female,5/3/21,4
Betty,Female,5/3/21,2
Bugs,Male,5/3/21,2
Carmen,Female,5/3/21,8
Dot,Female,5/3/21,6
Elsa,Female,5/3/21,6
Fiona,Female,5/3/21,8
Granny,Female,5/3/21,2
Marlo,Female,5/3/21,2
Alvin,Male,5/4/21,4
April,Female,5/4/21,6
Betty,Female,5/4/21,6
Bugs,Male,5/4/21,2
Carmen,Female,5/4/21,2
Dot,Female,5/4/21,8
Elsa,Female,5/4/21,4
Fiona,Female,5/4/21,6
Granny,Female,5/4/21,2
Marlo,Female,5/4/21,8
Alvin,Male,5/5/21,2
April,Female,5/5/21,6
Betty,Female,5/5/21,6
Bugs,Male,5/5/21,2
Carmen,Female,5/5/21,6
Dale,Male,5/5/21,2
Dot,Female,5/5/21,2
Elsa,Female,5/5/21,8
Felix,Male,5/5/21,4
Fiona,Female,5/5/21,4
Granny,Female,5/5/21,2
Marlo,Female,5/5/21,4
Ziggy,Male,5/5/21,6
Alvin,Male,5/6/21,0
April,Female,5/6/21,4
Betty,Female,5/6/21,0
Bugs,Male,5/6/21,0
Carmen,Female,5/6/21,6
Dale,Male,5/6/21,0
Dot,Female,5/6/21,4
Elsa,Female,5/6/21,0
Felix,Male,5/6/21,0
Fiona,Female,5/6/21,0
Granny,Female,5/6/21,6
Marlo,Female,5/6/21,2
Ziggy,Male,5/6/21,0
Alvin,Male,5/7/21,6
April,Female,5/7/21,2
Betty,Female,5/7/21,2
Bugs,Male,5/7/21,0
Carmen,Female,5/7/21,2
Dale,Male,5/7/21,0
Dot,Female,5/7/21,4
Elsa,Female,5/7/21,12
Felix,Male,5/7/21,6
Fiona,Female,5/7/21,6
Granny,Female,5/7/21,4
Marlo,Female,5/7/21,6
Ziggy,Male,5/7/21,6
Alvin,Male,5/8/21,2
April,Female,5/8/21,6
Betty,Female,5/8/21,10
Bugs,Male,5/8/21,8
Carmen,Female,5/8/21,2
Dale,Male,5/8/21,12
Dot,Female,5/8/21,6
Elsa,Female,5/8/21,8
Felix,Male,5/8/21,8
Fiona,Female,5/8/21,4
Granny,Female,5/8/21,6
Marlo,Female,5/8/21,10
Ziggy,Male,5/8/21,10
Alvin,Male,5/9/21,0
April,Female,5/9/21,4
Betty,Female,5/9/21,0
Bugs,Male,5/9/21,0
Carmen,Female,5/9/21,12
Dale,Male,5/9/21,0
Dot,Female,5/9/21,2
Elsa,Female,5/9/21,6
Felix,Male,5/9/21,0
Fiona,Female,5/9/21,2
Granny,Female,5/9/21,2
Marlo,Female,5/9/21,2
Ziggy,Male,5/9/21,2
Alvin,Male,5/10/21,2
April,Female,5/10/21,6
Betty,Female,5/10/21,2
Bugs,Male,5/10/21,4
Carmen,Female,5/10/21,2
Dale,Male,5/10/21,2
Dot,Female,5/10/21,4
Elsa,Female,5/10/21,6
Felix,Male,5/10/21,0
Fiona,Female,5/10/21,2
Granny,Female,5/10/21,4
Marlo,Female,5/10/21,4
Ziggy,Male,5/10/21,6
Alvin,Male,5/11/21,0
April,Female,5/11/21,6
Betty,Female,5/11/21,6
Bugs,Male,5/11/21,2
Carmen,Female,5/11/21,2
Dale,Male,5/11/21,4
Dot,Female,5/11/21,6
Elsa,Female,5/11/21,6
Felix,Male,5/11/21,0
Fiona,Female,5/11/21,2
Granny,Female,5/11/21,4
Marlo,Female,5/11/21,6
Ziggy,Male,5/11/21,0
Alvin,Male,5/12/21,2
April,Female,5/12/21,4
Betty,Female,5/12/21,4
