Date,Month,Julien,Week,ID,Sex,TotalMinBask,Basking,Date,Week,Water.Min,Water.Max,Water.Mean,Avg.Wind,CloudCover,Precip,Air.Max.F,Air.Min.F,Air.Mean.F,Air.Max.C,Air.Min.C,Air.Mean.C,RiverHeight.ft,Discharge.ft.s
5/1/21,5,2021121,18,Alvin,Male,495,0.61,5/1/21,18,11.6,14.6,13.3,13.65,0.20,0,73,31,53,22.8,-0.6,11.7,3.07,480
5/1/21,5,2021121,18,April,Female,515,0.64,5/1/21,18,11.6,14.6,13.3,13.65,0.20,0,73,31,53,22.8,-0.6,11.7,3.07,480
5/1/21,5,2021121,18,Betty,Female,410,0.51,5/1/21,18,11.6,14.6,13.3,13.65,0.20,0,73,31,53,22.8,-0.6,11.7,3.07,480
5/1/21,5,2021121,18,Carmen,Female,680,0.84,5/1/21,18,11.6,14.6,13.3,13.65,0.20,0,73,31,53,22.8,-0.6,11.7,3.07,480
5/1/21,5,2021121,18,Dot,Female,490,0.61,5/1/21,18,11.6,14.6,13.3,13.65,0.20,0,73,31,53,22.8,-0.6,11.7,3.07,480
5/1/21,5,2021121,18,Marlo,Female,435,0.54,5/1/21,18,11.6,14.6,13.3,13.65,0.20,0,73,31,53,22.8,-0.6,11.7,3.07,480
5/2/21,5,2021122,19,Alvin,Male,550,0.68,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,April,Female,425,0.53,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Betty,Female,585,0.73,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Bugs,Male,675,0.84,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Carmen,Female,700,0.87,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Dot,Female,505,0.63,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Elsa,Female,595,0.74,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Fiona,Female,695,0.86,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Granny,Female,755,0.94,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/2/21,5,2021122,19,Marlo,Female,495,0.62,5/2/21,18,14.1,18,15.7,17,0.68,0,82,59,60,27.8,15,15.6,3.04,461
5/3/21,5,2021123,19,Alvin,Male,330,0.41,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,April,Female,335,0.42,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Betty,Female,455,0.57,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Bugs,Male,295,0.37,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Carmen,Female,550,0.68,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Dot,Female,380,0.47,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Elsa,Female,310,0.39,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Fiona,Female,245,0.30,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Granny,Female,390,0.48,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/3/21,5,2021123,19,Marlo,Female,335,0.42,5/3/21,18,15.7,17.7,16.3,6.49,1.00,0.12,66,56,55.8,18.9,13.3,13.2,3.05,468
5/4/21,5,2021124,19,Alvin,Male,180,0.22,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,April,Female,245,0.30,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Betty,Female,305,0.38,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Bugs,Male,5,0.01,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Carmen,Female,495,0.61,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Dot,Female,255,0.31,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Elsa,Female,620,0.40,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Fiona,Female,155,0.19,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Granny,Female,265,0.33,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/4/21,5,2021124,19,Marlo,Female,80,0.10,5/4/21,18,15.4,16.4,15.8,11.41,1.00,0.07,63,48,53.8,17.2,8.9,12.1,3.04,464
5/5/21,5,2021125,19,Alvin,Male,330,0.41,5/5/21,18,14.1,16.5,15.2,10.07,0.80,0,58,40,49,14.4,4.4,9.4,3.04,462
